1, 1, Владана, Јовановић, 1996, FEMALE, 36.806471440466105, 1, 24, 21, RIGHT_BOTTOM, false
2, 2, Јелена, Јовић, 1958, FEMALE, 35.95332837588378, 2, 17, 24, TOP, false
3, 3, Каћа, Перић, 1958, FEMALE, 36.61924226593284, 3, 13, 17, TOP, false
4, 4, Катарина, Пијетловић, 2018, FEMALE, 36.44687992485875, 1, 24, 20, BOTTOM, false
5, 5, Стефана, Живановић, 1963, FEMALE, 36.82114864379636, 4, 1, 16, RIGHT_TOP, false
6, 6, Драгољуб, Миличевић, 1967, MALE, 35.67228618749204, 1, 24, 21, RIGHT_BOTTOM, false
7, 7, Драгољуб, Петровић, 1971, MALE, 36.15620255029654, 2, 19, 23, LEFT_BOTTOM, false
8, 8, Јована, Јовановић, 1994, FEMALE, 36.71050633822746, 5, 10, 11, LEFT_BOTTOM, false
9, 9, Николина, Пијетловић, 2019, FEMALE, 35.81826314511071, 2, 19, 23, LEFT_BOTTOM, false
10, 10, Александар, Лазарев, 1956, MALE, 36.21935304086974, 3, 13, 17, TOP, false
11, 11, Сретен, Ковачевић, 2013, MALE, 36.90054335655248, 3, 13, 18, RIGHT_TOP, false
12, 12, Вања, Петров, 1975, FEMALE, 35.97685994400777, 6, 23, 9, TOP, false
13, 13, Горан, Јојић, 1997, MALE, 36.190243628512576, 4, 2, 16, RIGHT, false
14, 14, Ксенија, Максимовић, 1985, FEMALE, 35.97629657829171, 7, 8, 14, LEFT_TOP, false
15, 15, Марија, Филиповић, 2007, FEMALE, 35.83556478910582, 4, 3, 16, RIGHT_BOTTOM, false
16, 16, Бојан, Атанасијевић, 1947, MALE, 36.205871406134186, 5, 10, 11, LEFT_BOTTOM, false
17, 17, Жељко, Живановић, 1931, MALE, 36.048151000239784, 6, 24, 10, RIGHT, false
18, 18, Васкрсија, Филиповић, 1948, FEMALE, 36.7624176877431, 8, 8, 23, RIGHT, false
19, 19, Андрија, Косанчић, 2019, MALE, 36.61168322689645, 5, 10, 11, LEFT_BOTTOM, false
20, 20, Ђорђе, Ковач, 1924, MALE, 36.55829610794355, 7, 9, 16, RIGHT, false
21, 21, Адријана, Босанчић, 1961, FEMALE, 36.55490950391522, 9, 16, 17, RIGHT, false
22, 22, Нена, Перић, 1940, FEMALE, 36.893249433312874, 10, 11, 14, BOTTOM, false
23, 23, Обренка, Николић, 1926, FEMALE, 36.677825245813544, 11, 2, 10, LEFT_BOTTOM, false
24, 24, Дуња, Ковач, 1950, FEMALE, 36.50384953298325, 12, 22, 14, BOTTOM, false
25, 26, Петар, Лазарев, 2000, MALE, 35.85702137882342, 8, 7, 21, LEFT_TOP, false
26, 27, Рената, Стевановић, 1921, FEMALE, 36.41457436279785, 14, 6, 11, RIGHT_TOP, false
